date,skill_name,region,interest
18546,python,US,55
18553,python,US,58
18560,python,US,56
18567,python,US,44
18574,python,US,50
18581,python,US,54
18588,python,US,39
18595,python,US,50
18602,python,US,50
18609,python,US,44
18616,python,US,33
18623,python,US,31
18630,python,US,38
18637,python,US,41
18644,python,US,43
18651,python,US,49
18658,python,US,55
18665,python,US,53
18672,python,US,50
18679,python,US,56
18686,python,US,54
18693,python,US,54
18700,python,US,50
18707,python,US,47
18714,python,US,47
18721,python,US,53
18728,python,US,50
18735,python,US,48
18742,python,US,48
18749,python,US,46
18756,python,US,45
18763,python,US,41
18770,python,US,41
18777,python,US,36
18784,python,US,44
18791,python,US,45
18798,python,US,44
18805,python,US,44
18812,python,US,40
18819,python,US,51
18826,python,US,46
18833,python,US,45
18840,python,US,42
18847,python,US,39
18854,python,US,43
18861,python,US,44
18868,python,US,51
18875,python,US,51
18882,python,US,63
18889,python,US,63
18896,python,US,64
18903,python,US,64
18910,python,US,61
18917,python,US,64
18924,python,US,60
18931,python,US,59
18938,python,US,60
18945,python,US,57
18952,python,US,40
18959,python,US,58
18966,python,US,60
18973,python,US,47
18980,python,US,35
18987,python,US,30
18994,python,US,57
19001,python,US,61
19008,python,US,66
19015,python,US,80
19022,python,US,74
19029,python,US,89
19036,python,US,98
19043,python,US,88
19050,python,US,95
19057,python,US,88
19064,python,US,85
19071,python,US,86
19078,python,US,98
19085,python,US,96
19092,python,US,95
19099,python,US,97
19106,python,US,96
19113,python,US,89
19120,python,US,84
19127,python,US,74
19134,python,US,75
19141,python,US,68
19148,python,US,76
19155,python,US,78
19162,python,US,77
19169,python,US,77
19176,python,US,71
19183,python,US,82
19190,python,US,84
19197,python,US,81
19204,python,US,77
19211,python,US,74
19218,python,US,75
19225,python,US,77
19232,python,US,79
19239,python,US,80
19246,python,US,90
19253,python,US,92
19260,python,US,93
19267,python,US,95
19274,python,US,92
19281,python,US,93
19288,python,US,94
19295,python,US,92
19302,python,US,89
19309,python,US,87
19316,python,US,63
19323,python,US,82
19330,python,US,86
19337,python,US,77
19344,python,US,63
19351,python,US,40
19358,python,US,58
19365,python,US,67
19372,python,US,77
19379,python,US,86
19386,python,US,91
19393,python,US,95
19400,python,US,91
19407,python,US,91
19414,python,US,91
19421,python,US,81
19428,python,US,79
19435,python,US,83
19442,python,US,81
19449,python,US,82
19456,python,US,82
19463,python,US,83
19470,python,US,82
19477,python,US,72
19484,python,US,70
19491,python,US,73
19498,python,US,69
19505,python,US,64
19512,python,US,69
19519,python,US,67
19526,python,US,66
19533,python,US,68
19540,python,US,61
19547,python,US,76
19554,python,US,72
19561,python,US,74
19568,python,US,69
19575,python,US,68
19582,python,US,66
19589,python,US,69
19596,python,US,75
19603,python,US,73
19610,python,US,84
19617,python,US,85
19624,python,US,83
19631,python,US,78
19638,python,US,78
19645,python,US,82
19652,python,US,83
19659,python,US,78
19666,python,US,76
19673,python,US,76
19680,python,US,54
19687,python,US,71
19694,python,US,78
19701,python,US,67
19708,python,US,55
19715,python,US,38
19722,python,US,49
19729,python,US,66
19736,python,US,66
19743,python,US,80
19750,python,US,85
19757,python,US,87
19764,python,US,100
19771,python,US,81
19778,python,US,80
19785,python,US,78
19792,python,US,75
19799,python,US,75
19806,python,US,71
19813,python,US,72
19820,python,US,68
19827,python,US,74
19834,python,US,74
19841,python,US,69
19848,python,US,67
19855,python,US,65
19862,python,US,65
19869,python,US,58
19876,python,US,68
19883,python,US,66
19890,python,US,61
19897,python,US,67
19904,python,US,53
19911,python,US,65
19918,python,US,63
19925,python,US,67
19932,python,US,62
19939,python,US,61
19946,python,US,63
19953,python,US,63
19960,python,US,66
19967,python,US,63
19974,python,US,73
19981,python,US,74
19988,python,US,75
19995,python,US,71
20002,python,US,70
20009,python,US,69
20016,python,US,72
20023,python,US,67
20030,python,US,60
20037,python,US,63
20044,python,US,67
20051,python,US,43
20058,python,US,66
20065,python,US,61
20072,python,US,50
20079,python,US,34
20086,python,US,37
20093,python,US,58
20100,python,US,62
20107,python,US,63
20114,python,US,70
20121,python,US,72
20128,python,US,71
20135,python,US,69
20142,python,US,72
20149,python,US,66
20156,python,US,65
20163,python,US,61
20170,python,US,59
20177,python,US,58
20184,python,US,61
20191,python,US,57
20198,python,US,61
20205,python,US,52
20212,python,US,52
20219,python,US,49
20226,python,US,54
20233,python,US,46
20240,python,US,49
20247,python,US,52
20254,python,US,46
20261,python,US,47
20268,python,US,42
20275,python,US,48
20282,python,US,50
20289,python,US,46
20296,python,US,45
20303,python,US,47
20310,python,US,48
20317,python,US,45
20324,python,US,44
20331,python,US,47
20338,python,US,54
20345,python,US,55
20352,python,US,57
20359,python,US,59
20366,python,US,57
20373,python,US,52
18546,sql,US,18
18553,sql,US,18
18560,sql,US,18
18567,sql,US,14
18574,sql,US,16
18581,sql,US,17
18588,sql,US,10
18595,sql,US,17
18602,sql,US,17
18609,sql,US,14
18616,sql,US,11
18623,sql,US,8
18630,sql,US,15
18637,sql,US,16
18644,sql,US,16
18651,sql,US,17
18658,sql,US,18
18665,sql,US,17
18672,sql,US,16
18679,sql,US,17
18686,sql,US,18
18693,sql,US,18
18700,sql,US,16
18707,sql,US,17
18714,sql,US,15
18721,sql,US,16
18728,sql,US,16
18735,sql,US,16
18742,sql,US,16
18749,sql,US,17
18756,sql,US,16
18763,sql,US,16
18770,sql,US,17
18777,sql,US,15
18784,sql,US,16
18791,sql,US,17
18798,sql,US,17
18805,sql,US,16
18812,sql,US,14
18819,sql,US,17
18826,sql,US,16
18833,sql,US,18
18840,sql,US,16
18847,sql,US,15
18854,sql,US,16
