Category: Programming

Week,Python: (United States),SQL: (United States),Tableau: (United States),RStudio: (United States)
2020-10-11,55,18,1,0
2020-10-18,58,18,1,<1
2020-10-25,56,18,2,<1
2020-11-01,44,14,1,<1
2020-11-08,50,16,1,<1
2020-11-15,54,17,1,0
2020-11-22,39,10,1,0
2020-11-29,50,17,1,<1
2020-12-06,50,17,1,<1
2020-12-13,44,14,1,0
2020-12-20,33,11,1,0
2020-12-27,31,8,1,0
2021-01-03,38,15,1,0
2021-01-10,41,16,1,<1
2021-01-17,43,16,1,<1
2021-01-24,49,17,1,<1
2021-01-31,55,18,1,0
2021-02-07,53,17,1,<1
2021-02-14,50,16,1,<1
2021-02-21,56,17,1,<1
2021-02-28,54,18,1,<1
2021-03-07,54,18,1,<1
2021-03-14,50,16,1,<1
2021-03-21,47,17,1,0
2021-03-28,47,15,1,<1
2021-04-04,53,16,1,<1
2021-04-11,50,16,1,0
2021-04-18,48,16,1,0
2021-04-25,48,16,1,<1
2021-05-02,46,17,1,0
2021-05-09,45,16,1,0
2021-05-16,41,16,1,<1
2021-05-23,41,17,1,<1
2021-05-30,36,15,1,0
2021-06-06,44,16,1,0
2021-06-13,45,17,1,<1
2021-06-20,44,17,1,0
2021-06-27,44,16,1,<1
2021-07-04,40,14,1,0
2021-07-11,51,17,1,<1
2021-07-18,46,16,1,<1
2021-07-25,45,18,1,<1
2021-08-01,42,16,1,<1
2021-08-08,39,15,1,0
2021-08-15,43,16,1,<1
2021-08-22,44,17,1,<1
2021-08-29,51,17,1,<1
2021-09-05,51,15,1,<1
2021-09-12,63,17,1,<1
2021-09-19,63,18,1,0
2021-09-26,64,18,1,<1
2021-10-03,64,18,1,<1
2021-10-10,61,17,1,<1
2021-10-17,64,18,1,<1
2021-10-24,60,16,1,0
2021-10-31,59,16,2,<1
2021-11-07,60,17,1,<1
2021-11-14,57,17,1,<1
2021-11-21,40,11,1,0
2021-11-28,58,16,1,<1
2021-12-05,60,16,1,<1
2021-12-12,47,17,1,<1
2021-12-19,35,11,1,0
2021-12-26,30,8,1,<1
2022-01-02,57,16,1,<1
2022-01-09,61,19,1,<1
2022-01-16,66,17,1,<1
2022-01-23,80,20,2,<1
2022-01-30,74,20,1,<1
2022-02-06,89,22,2,<1
2022-02-13,98,21,2,<1
2022-02-20,88,20,1,<1
2022-02-27,95,21,2,<1
2022-03-06,88,20,2,<1
2022-03-13,85,20,1,<1
2022-03-20,86,20,2,<1
2022-03-27,98,20,2,<1
2022-04-03,96,22,2,<1
2022-04-10,95,20,1,<1
2022-04-17,97,20,2,<1
2022-04-24,96,20,2,<1
2022-05-01,89,20,2,<1
2022-05-08,84,21,1,<1
2022-05-15,74,19,2,<1
2022-05-22,75,19,1,<1
2022-05-29,68,17,1,0
2022-06-05,76,20,2,<1
2022-06-12,78,20,2,<1
2022-06-19,77,19,1,<1
2022-06-26,77,19,2,<1
2022-07-03,71,17,1,<1
2022-07-10,82,21,2,<1
2022-07-17,84,21,2,<1
2022-07-24,81,20,2,<1
2022-07-31,77,20,1,0
2022-08-07,74,20,1,<1
2022-08-14,75,21,2,<1
2022-08-21,77,20,2,<1
2022-08-28,79,19,2,<1
2022-09-04,80,17,1,<1
2022-09-11,90,20,2,<1
2022-09-18,92,21,2,<1
2022-09-25,93,20,2,<1
2022-10-02,95,20,2,<1
2022-10-09,92,20,2,<1
2022-10-16,93,21,2,<1
2022-10-23,94,20,2,<1
2022-10-30,92,19,2,<1
2022-11-06,89,19,1,<1
2022-11-13,87,21,2,<1
2022-11-20,63,13,1,<1
2022-11-27,82,18,2,<1
2022-12-04,86,20,1,<1
2022-12-11,77,19,2,<1
2022-12-18,63,14,1,0
