Category: Programming

Month,Python: (United States),SQL: (United States),Tableau: (United States),R: (United States),Power BI: (United States)
2004-01,26,71,0,2,0
2004-02,30,74,0,3,0
2004-03,30,77,0,3,0
2004-04,29,80,0,3,0
2004-05,25,71,0,3,0
2004-06,28,84,0,3,0
2004-07,30,84,0,3,0
2004-08,32,83,0,2,0
2004-09,29,76,0,2,0
2004-10,30,74,0,2,0
2004-11,26,70,0,2,0
2004-12,25,70,0,3,0
2005-01,25,66,0,2,0
2005-02,28,73,0,3,0
2005-03,29,70,0,2,0
2005-04,24,69,0,2,0
2005-05,28,72,0,2,0
2005-06,30,76,0,3,0
2005-07,29,67,0,2,0
2005-08,27,70,0,2,0
2005-09,27,64,0,3,0
2005-10,28,64,0,2,0
2005-11,24,57,0,3,0
2005-12,26,58,0,2,0
2006-01,26,58,0,2,0
2006-02,27,59,0,2,0
2006-03,28,64,0,3,0
2006-04,25,58,0,2,0
2006-05,23,58,0,2,0
2006-06,25,64,0,2,0
2006-07,26,59,0,2,0
2006-08,25,59,0,2,0
2006-09,27,53,0,3,0
2006-10,27,57,0,3,0
2006-11,24,52,0,3,0
2006-12,23,44,0,2,0
2007-01,23,48,0,2,0
2007-02,24,51,0,2,0
2007-03,25,51,0,2,0
2007-04,24,47,0,3,0
2007-05,26,48,0,2,0
2007-06,27,53,<1,3,0
2007-07,26,52,0,3,0
2007-08,25,53,0,3,0
2007-09,25,49,0,2,0
2007-10,24,50,0,3,0
2007-11,25,47,0,2,0
2007-12,25,42,0,2,0
2008-01,26,48,0,2,0
2008-02,28,48,<1,3,0
2008-03,28,49,0,3,0
2008-04,30,56,0,3,0
2008-05,28,48,0,3,0
2008-06,28,50,<1,2,0
2008-07,28,51,0,2,0
2008-08,27,44,0,3,0
2008-09,29,50,<1,3,0
2008-10,27,51,<1,3,0
2008-11,26,46,<1,3,0
2008-12,26,42,<1,2,0
2009-01,26,45,0,3,0
2009-02,31,49,<1,3,0
2009-03,32,49,<1,3,0
2009-04,32,50,<1,3,0
2009-05,26,49,<1,3,0
2009-06,30,60,0,3,0
2009-07,28,54,0,3,0
2009-08,28,51,0,3,0
2009-09,29,53,<1,3,0
2009-10,29,53,<1,3,0
2009-11,27,47,<1,3,0
2009-12,25,44,<1,3,0
2010-01,25,47,<1,3,0
2010-02,29,49,0,3,0
2010-03,25,54,<1,3,0
2010-04,26,53,<1,4,0
2010-05,28,49,<1,3,0
2010-06,29,54,<1,3,0
2010-07,24,42,<1,3,0
2010-08,24,46,<1,3,0
2010-09,24,43,<1,3,0
2010-10,26,42,<1,3,0
2010-11,25,41,<1,3,0
2010-12,24,37,<1,3,0
2011-01,25,36,<1,3,0
2011-02,30,38,<1,4,0
2011-03,29,40,<1,4,0
2011-04,27,37,<1,4,0
2011-05,28,35,<1,3,0
2011-06,29,39,<1,4,0
2011-07,28,34,<1,3,0
2011-08,28,37,<1,3,0
2011-09,30,33,<1,4,0
2011-10,28,34,<1,4,0
2011-11,28,31,<1,4,0
2011-12,23,29,<1,3,0
2012-01,27,30,<1,4,0
2012-02,29,31,<1,4,0
2012-03,30,32,<1,4,0
2012-04,30,34,<1,4,0
2012-05,29,33,<1,4,0
2012-06,28,33,<1,4,0
2012-07,30,32,<1,4,0
2012-08,29,33,<1,4,0
2012-09,30,30,<1,4,0
2012-10,32,31,<1,5,0
2012-11,29,26,<1,4,0
2012-12,25,24,<1,4,0
2013-01,30,28,<1,5,0
2013-02,34,29,<1,5,0
2013-03,34,29,<1,5,0
2013-04,33,31,<1,5,0
2013-05,32,30,<1,5,0
2013-06,33,29,<1,4,0
2013-07,33,30,<1,4,0
2013-08,33,31,<1,4,0
2013-09,33,28,<1,5,0
2013-10,37,31,1,6,0
2013-11,36,28,<1,5,0
2013-12,32,24,<1,4,0
2014-01,34,28,<1,5,0
2014-02,40,30,<1,6,0
2014-03,38,28,1,5,0
2014-04,41,30,1,6,0
2014-05,37,30,1,6,0
2014-06,38,32,1,6,0
2014-07,39,33,1,6,0
2014-08,37,30,1,6,0
2014-09,41,29,1,6,0
2014-10,42,31,1,7,0
2014-11,38,28,1,7,0
2014-12,34,26,1,6,0
2015-01,37,27,1,6,0
2015-02,44,31,1,7,0
2015-03,44,31,1,7,0
2015-04,45,31,1,7,0
2015-05,41,31,1,7,0
2015-06,46,34,1,7,<1
2015-07,47,34,1,8,<1
2015-08,45,32,1,7,0
2015-09,50,30,1,8,<1
2015-10,50,30,1,8,<1
2015-11,45,28,1,7,<1
2015-12,41,27,1,6,<1
2016-01,44,22,1,6,<1
2016-02,53,26,1,7,<1
2016-03,52,26,1,7,<1
2016-04,51,27,1,7,<1
2016-05,49,25,1,7,<1
2016-06,52,27,1,7,<1
2016-07,47,24,1,6,<1
2016-08,47,26,1,6,<1
2016-09,51,23,1,7,<1
2016-10,52,23,1,7,<1
2016-11,55,23,1,7,<1
2016-12,48,21,1,6,<1
2017-01,59,23,1,7,<1
2017-02,69,27,1,9,<1
2017-03,67,28,2,8,<1
2017-04,66,26,1,9,<1
2017-05,61,25,1,8,<1
2017-06,64,26,1,8,1
2017-07,60,24,1,7,<1
2017-08,59,28,1,8,1
2017-09,66,24,1,7,<1
2017-10,70,26,2,8,<1
2017-11,66,25,1,8,<1
2017-12,53,20,1,7,<1
2018-01,60,23,1,7,1
2018-02,72,25,2,8,1
2018-03,72,25,2,8,1
2018-04,69,25,2,8,1
2018-05,65,24,2,7,1
2018-06,71,25,2,8,1
2018-07,64,24,1,7,1
2018-08,71,25,2,7,1
2018-09,75,22,2,8,1
2018-10,84,25,2,8,1
2018-11,72,23,2,7,1
2018-12,61,19,1,6,1
2019-01,64,21,2,7,1
2019-02,76,25,2,8,1
2019-03,76,24,2,8,1
2019-04,76,25,2,9,1
2019-05,74,25,2,7,1
2019-06,73,25,2,7,1
2019-07,73,24,2,7,1
2019-08,70,25,2,7,1
2019-09,82,24,2,9,1
